Cache directory: /opt/app-root/src/.cache/autoresearch

Data: all 6543 shards already downloaded at /opt/app-root/src/.cache/autoresearch/data

Tokenizer: already trained at /opt/app-root/src/.cache/autoresearch/tokenizer

Done! Ready to train.
Cloning into '/workspace'...
Switched to a new branch 'autoresearch/mar12'
branch 'autoresearch/mar12' set up to track 'origin/autoresearch/mar12'.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 9,437,184
  lm_head                 : 3,145,728
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 26,345,772
Estimated FLOPs per token: 1.203258e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011148 | lrm: 1.00 | dt: 40661ms | tok/sec: 12,893 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.881083 | lrm: 1.00 | dt: 498ms | tok/sec: 1,053,754 | mfu: 12.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.488496 | lrm: 1.00 | dt: 425ms | tok/sec: 1,234,497 | mfu: 15.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.041101 | lrm: 1.00 | dt: 426ms | tok/sec: 1,230,302 | mfu: 15.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.661490 | lrm: 1.00 | dt: 428ms | tok/sec: 1,223,895 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.335900 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,443 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.077340 | lrm: 1.00 | dt: 428ms | tok/sec: 1,224,605 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864666 | lrm: 1.00 | dt: 429ms | tok/sec: 1,222,004 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.683639 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,194 | mfu: 14.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.529093 | lrm: 1.00 | dt: 429ms | tok/sec: 1,222,364 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.396704 | lrm: 1.00 | dt: 429ms | tok/sec: 1,221,332 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.287087 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,333 | mfu: 14.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.189140 | lrm: 1.00 | dt: 431ms | tok/sec: 1,215,879 | mfu: 14.8% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.099682 | lrm: 1.00 | dt: 429ms | tok/sec: 1,221,038 | mfu: 14.8% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.024178 | lrm: 1.00 | dt: 429ms | tok/sec: 1,220,739 | mfu: 14.8% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 5.953370 | lrm: 1.00 | dt: 429ms | tok/sec: 1,221,307 | mfu: 14.9% | epoch: 1 | remaining: 298s    
step 00016 (0.7%) | loss: 5.892564 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,772 | mfu: 14.8% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 5.835254 | lrm: 1.00 | dt: 431ms | tok/sec: 1,215,954 | mfu: 14.8% | epoch: 1 | remaining: 297s    
step 00018 (1.0%) | loss: 5.782859 | lrm: 1.00 | dt: 429ms | tok/sec: 1,221,246 | mfu: 14.9% | epoch: 1 | remaining: 297s    
step 00019 (1.1%) | loss: 5.733513 | lrm: 1.00 | dt: 429ms | tok/sec: 1,223,354 | mfu: 14.9% | epoch: 1 | remaining: 296s    
step 00020 (1.3%) | loss: 5.689723 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,297 | mfu: 14.8% | epoch: 1 | remaining: 296s    
step 00021 (1.4%) | loss: 5.649096 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,176 | mfu: 14.8% | epoch: 1 | remaining: 295s    
step 00022 (1.6%) | loss: 5.611365 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,781 | mfu: 14.8% | epoch: 1 | remaining: 295s    
step 00023 (1.7%) | loss: 5.572401 | lrm: 1.00 | dt: 429ms | tok/sec: 1,221,136 | mfu: 14.8% | epoch: 1 | remaining: 294s    
step 00024 (1.9%) | loss: 5.535576 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,937 | mfu: 14.7% | epoch: 1 | remaining: 294s    
step 00025 (2.0%) | loss: 5.501078 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,484 | mfu: 14.7% | epoch: 1 | remaining: 294s    
step 00026 (2.2%) | loss: 5.467879 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,826 | mfu: 14.8% | epoch: 1 | remaining: 293s    
step 00027 (2.3%) | loss: 5.434133 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,298 | mfu: 14.8% | epoch: 1 | remaining: 293s    
step 00028 (2.4%) | loss: 5.404663 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,076 | mfu: 14.8% | epoch: 1 | remaining: 292s    
step 00029 (2.6%) | loss: 5.375040 | lrm: 1.00 | dt: 429ms | tok/sec: 1,222,500 | mfu: 14.9% | epoch: 1 | remaining: 292s    
step 00030 (2.7%) | loss: 5.346075 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,997 | mfu: 14.7% | epoch: 1 | remaining: 291s    
step 00031 (2.9%) | loss: 5.316178 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,047 | mfu: 14.8% | epoch: 1 | remaining: 291s    
step 00032 (3.0%) | loss: 5.286562 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,893 | mfu: 14.8% | epoch: 1 | remaining: 291s    
step 00033 (3.2%) | loss: 5.259182 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,766 | mfu: 14.8% | epoch: 1 | remaining: 290s    
step 00034 (3.3%) | loss: 5.227829 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,382 | mfu: 14.8% | epoch: 1 | remaining: 290s    
step 00035 (3.4%) | loss: 5.197532 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,159 | mfu: 14.8% | epoch: 1 | remaining: 289s    
step 00036 (3.6%) | loss: 5.169129 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,181 | mfu: 14.8% | epoch: 1 | remaining: 289s    
step 00037 (3.7%) | loss: 5.141899 | lrm: 1.00 | dt: 433ms | tok/sec: 1,212,130 | mfu: 14.7% | epoch: 1 | remaining: 288s    
step 00038 (3.9%) | loss: 5.112623 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,634 | mfu: 14.8% | epoch: 1 | remaining: 288s    
step 00039 (4.0%) | loss: 5.084246 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,984 | mfu: 14.8% | epoch: 1 | remaining: 288s    
step 00040 (4.2%) | loss: 5.053399 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,587 | mfu: 14.8% | epoch: 1 | remaining: 287s    
step 00041 (4.3%) | loss: 5.024823 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,422 | mfu: 14.8% | epoch: 1 | remaining: 287s    
step 00042 (4.4%) | loss: 4.999123 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,232 | mfu: 14.8% | epoch: 1 | remaining: 286s    
step 00043 (4.6%) | loss: 4.972468 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,635 | mfu: 14.8% | epoch: 1 | remaining: 286s    
step 00044 (4.7%) | loss: 4.944143 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,490 | mfu: 14.8% | epoch: 1 | remaining: 285s    
step 00045 (4.9%) | loss: 4.917543 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,426 | mfu: 14.8% | epoch: 1 | remaining: 285s    
step 00046 (5.0%) | loss: 4.891264 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,219 | mfu: 14.7% | epoch: 1 | remaining: 284s    
step 00047 (5.2%) | loss: 4.860730 | lrm: 1.00 | dt: 431ms | tok/sec: 1,215,774 | mfu: 14.8% | epoch: 1 | remaining: 284s    
step 00048 (5.3%) | loss: 4.834649 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,652 | mfu: 14.8% | epoch: 1 | remaining: 284s    
step 00049 (5.5%) | loss: 4.808435 | lrm: 1.00 | dt: 433ms | tok/sec: 1,211,978 | mfu: 14.7% | epoch: 1 | remaining: 283s    
step 00050 (5.6%) | loss: 4.780933 | lrm: 1.00 | dt: 431ms | tok/sec: 1,216,101 | mfu: 14.8% | epoch: 1 | remaining: 283s    
step 00051 (5.7%) | loss: 4.754573 | lrm: 1.00 | dt: 431ms | tok/sec: 1,216,611 | mfu: 14.8% | epoch: 1 | remaining: 282s    
step 00052 (5.9%) | loss: 4.729888 | lrm: 1.00 | dt: 433ms | tok/sec: 1,209,535 | mfu: 14.7% | epoch: 1 | remaining: 282s    
step 00053 (6.0%) | loss: 4.704267 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,104 | mfu: 14.8% | epoch: 1 | remaining: 281s    
step 00054 (6.2%) | loss: 4.679480 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,268 | mfu: 14.8% | epoch: 1 | remaining: 281s    
step 00055 (6.3%) | loss: 4.654815 | lrm: 1.00 | dt: 432ms | tok/sec: 1,212,400 | mfu: 14.7% | epoch: 1 | remaining: 281s    
